"geoip.country_name.keyword: Descending","DestPort: Descending",Count
"United States",2404,112
"United States",123,83
"United States",23,65
"United States",2222,58
"United States",2323,56
France,5060,"4,144"
France,7999,149
France,37215,149
France,8728,148
France,22,74
"United Kingdom",80,27
"United Kingdom",49158,17
"United Kingdom",123,16
"United Kingdom",8444,16
"United Kingdom",50001,16
China,123,439
China,22,349
China,23,120
China,6379,111
China,2375,24
Bulgaria,22,306
Bulgaria,53,31
Bulgaria,8081,28
Bulgaria,3128,25
Bulgaria,9080,20
